EPIC               Kp           Raw CDPP     Everest CDPP      Validation        Outliers       Saturated
205457839          14.122         514.381          92.448         124.927              19               0
202990244          14.054        2691.264          64.156          92.868              12               0
204159738          15.435        4561.401         215.855         271.422              13               0
203417549          12.704        5323.333        2712.098        4127.200               8               0
204309340          17.420        2998.071         574.032         670.874              24               0
205114348          14.265         339.201          56.448          76.720              14               0
203544427          15.235        3203.637         484.469         618.887              35               0
204410597           9.406          95.840          11.531          15.185              38               1
204928567          13.226         489.615         101.596         144.146               3               0
202697194          12.529         608.864          26.440          48.595              13               0
205575109          11.714         347.510          18.413          26.718              13               0
204292078          13.969         329.393         104.291         139.078               1               0
203714946          12.413         178.828          25.520          42.501               8               0
203598695          13.353         166.791          51.616          86.886               4               0
205161686           7.841         188.614          50.320          72.295              37               0
203843439          11.873         318.553          86.692         111.622               0               0
203001258          11.607         154.387          16.142          27.589              27               0
203637000          11.613         153.987          15.492          29.241              39               0
205066382          12.832         155.234          81.337         102.222               1               0
203814419          12.192         419.947          69.531         119.610               6               0
203742392          15.105         678.642         135.207         191.672              18               0
205255264          14.740        5700.111         102.154         173.262              18               0
205186525          13.655         159.990          37.787          57.657              13               0
202973860          14.286         394.734         104.496         145.174               8               0
204899497          12.082          83.171          16.686          26.244               4               0
204908535          11.511         314.879          98.710         129.326               1               1
204982668          11.485         183.240          36.739          51.974               0               0
203470979          14.429         245.248          96.673         121.676               4               0
204175249          12.458        5329.501         178.219         239.598               1               1
204840409          11.673         323.666          22.270          38.977               5               0
203515909          13.075         292.524          92.862         116.475               3               0
203970413          12.728         804.931          31.362          47.908               2               0
202875164          12.716         311.810         100.626         145.885               1               0
205720492          15.464       77677.325         128.623         230.785             374               0
204512343          12.884        4276.080        3357.036        3792.600             134               0
203646810          12.057         275.810          21.825          35.770              25               0
203109257          14.938         599.922         105.472         143.150              13               0
205147293          12.612         331.128          93.329         133.342               0               0
204918949          11.355         220.835          14.250          21.562              45               1
202639739          12.596         349.787          30.578          52.846              19               0
205087956          15.001        1591.023         180.972         235.945              52               0
205399697          12.168         398.961          34.129          55.957               2               0
203823381          13.468         579.140         161.026         215.491              24               0
204187094          13.193       12257.093       12268.218       15808.612               8               0
205588471          13.555         264.213          63.301          86.558               5               0
204676803          11.922        1068.604         341.050         341.980             183               0
205684985          12.569         782.449          90.513         136.952               0               0
204867399          15.667         742.063         152.031         239.175              13               0
203940288          12.544        1132.230          44.494          66.386              15               0
204301359          14.496         305.410          90.346         120.642              16               0
204426847           7.474          33.341           9.674          14.995              70               1
203630569          14.011        2609.810        1567.235        1931.064               5               0
205326018          12.284         211.909          15.329          29.139               7               0
204477523          12.567          93.387          22.715          33.815               6               0
205049991          11.724         179.241          99.884         130.959               0               0
205045966          10.599         158.403          52.275          80.530               3               1
210282551          22.400      325312.360      348842.774      311838.916              16               0
204826807          15.720        1320.691         151.921         233.268              13               0
203122463          14.232        3784.004         684.701         828.473              40               0
203091284          15.069         727.066         156.686         227.348              12               0
203092549          12.073         312.499          98.240         145.084               1               0
204832426          17.373       13309.685        4221.896      353924.337             476               1
203532979          11.498         710.245          17.844          32.456               6               0
205166730          14.213         460.229         100.973         126.791               9               0
205512883          14.929        3044.603         538.096         664.291              33               0
204746346          15.020         320.303          89.924         132.999              16               0
204254519          11.413         136.936          13.627          20.681              46               0
202811596          10.773         190.831          75.608         117.749               0               1
205046761          14.054         512.905          48.969          69.704              18               0
202889750          12.058         360.391          18.984          32.997               7               0
204190396          12.406         371.256          21.710          31.052              10               0
204097529          11.910          70.956          16.627          25.589              10               0
