202062450       1943.229537       4.450446      0.58
201862715       1979.949116       2.655677      0.109008333333
206103150       2145.81826        4.15913       0.149283333333
206154641       2144.65126        2.484202      0.083175
212300977       2387.529415       4.465624      0.147675
212756297       2385.110257       1.337113      0.0785791666667
216414930       2469.416305       3.619185      0.184429166667
217671466       2469.174828       1.915312      0.1483875
220303276       2561.722692       4.046004      0.208829166667
205982900       2150.74701        6.720586      0.4
205982900       2153.934584       6.720586      0.5
201488365       1979.224          3.364312      0.4
212351048       2385.16           2.548563      0.4
212351048       2386.44           2.548563      0.4
212576383       2386.44           5.985         0.4
212576383       2389.43           5.985         0.4
213196496       2468.9            1.435689      0.25
213196496       2469.61           1.435689      0.25
215365782       2469.42           1.49851       0.25
215365782       2468.67           1.49851       0.25
216254956       2469.19           1.8633        0.35
216254956       2470.12           1.8633        0.35
218796935       2480.09           46.5816       1.0
218796935       2504.19           46.5816       0.6
210969614       2230.5719         2.754317      0.4
210969614       2231.9551         2.754317      0.4
211920612       2306.5788         4.7421077     0.8
212173112       2309.06           10.172857     0.8
212173112       2314.14           10.172857     0.85
