# Downloaded from https://archive.stsci.edu/k2/published_planets/search.php on 12/28/2016
#EPIC     Campaign    Kp       N     Radius    Period     Mstar     Rstar     Tstar
206159027     3     12.597     1     0.141     8.054      0.730     0.680     4746
206162305     3     14.807     1     0.207     7.066      0.550     0.490     4127
206181769     3     12.770     1     0.258     13.979     0.940     0.930     5622
206192813     3     14.875     1     0.192     6.985      0.480     0.430     4006
206209135     3     14.407     4     0.067     5.577      0.220     0.230     3497
206209135     3     14.407     4     0.077     15.187     0.220     0.230     3497
206209135     3     14.407     4     0.065     7.760      0.220     0.230     3497
206209135     3     14.407     4     0.073     24.167     0.220     0.230     3497
206245553     3     11.745     1     0.219     7.495      1.050     1.060     5922
206268299     3     12.430     1     0.206     19.567     0.960     0.980     6060
206348688     3     12.566     2     0.238     7.814      1.160     1.560     5995
206348688     3     12.566     2     0.247     18.311     1.160     1.560     5995
206432863     3     13.008     1     0.990     23.973     1.020     1.280     5806
210363145     4     11.896     1     0.205     8.200      0.800     0.760     4970
210400751     4     11.892     1     0.127     2.290      0.900     0.880     5729
210402237     4     11.801     1     0.329     10.996     1.060     1.280     5926
210403955     4     12.388     2     0.179     19.092     0.900     0.870     5441
210403955     4     12.388     2     0.131     5.605      0.900     0.870     5441
210448987     4     13.927     1     0.162     6.102      0.700     0.630     4530
210483889     4     13.519     1     0.232     7.196      0.150     0.170     3415
210508766     4     13.844     2     0.111     2.747      0.480     0.420     3910
210508766     4     13.844     2     0.132     9.998      0.480     0.420     3910
210577548     4     13.138     2     0.215     6.421      0.950     0.930     5652
210577548     4     13.138     2     0.181     27.860     0.950     0.930     5652
210707130     4     12.099     1     0.090     0.685      0.570     0.510     4268
210718708     4     12.801     1     0.175     8.777      0.790     0.760     5482
210731500     4     13.691     1     0.410     9.727      0.950     0.930     5406
210750726     4     14.594     1     0.110     4.612      0.260     0.260     3537
210838726     4     13.307     1     0.055     1.096      0.350     0.320     3691
210968143     4     13.723     2     0.182     13.731     0.560     0.490     4136
210968143     4     13.723     2     0.091     2.900      0.560     0.490     4136
211077024     4     14.464     1     0.098     1.420      0.290     0.280     3622
211152484     4     12.136     1     0.228     0.702      1.040     1.380     6098
