215121921          13.180         791.979         826.640          26.543 0 1
215252993          11.777         225.727         242.130          13.426 0 1
214368257          13.108         461.142         483.504          26.119 0 2
213483527          13.038         838.037         841.833          24.334 0 1
214925320          12.741         436.210         466.037          20.531 0 1
214564872          12.927         524.449         570.679          23.122 0 1
214007818          12.956         352.501         362.010          20.655 0 1
214859787          13.611         550.391         570.366          31.012 0 1
214073355          10.929         626.709         681.697           9.367 0 2
214335502          16.216       18397.695       17815.462          64.390 0 5
215220240          13.551         434.162         473.880          27.029 0 1
215089170          14.140        1606.640        1703.234          39.723 0 1
214892564          12.265         562.771         586.349          14.673 0 1
214728725          13.974        1756.162        1857.470          39.910 0 1
215482388          12.014         648.673         672.766          15.065 0 1
214990877          14.043        2307.251        2431.168          30.676 0 1
216268832          12.208         163.595         167.876          16.233 0 1
218005539          12.033         633.065         689.058          14.922 0 1
218660903          13.165         190.696         194.759          25.648 0 1
216498220          14.428        1215.699        1321.567          41.169 0 1
214794287          13.398        1252.766        1381.085          25.765 0 2
215023666          13.535         170.388         178.692          27.172 0 1
216203318          11.953         189.890         193.407          14.318 0 1
215253051          12.704         268.984         226.815          19.892 0 1
215187516          13.882        7465.242        7992.038          31.239 0 5
213778492          13.715        1644.176        1728.872          30.751 0 1
213450815          13.522         547.086         578.997          28.725 0 2
215089221          13.776        1115.427        1174.589          12.540 0 1
213647431          10.516         257.912         268.954           7.831 3 5
219807818          14.503        4265.226        4430.570          51.258 0 2
216498252          14.256         532.412         563.890          36.533 0 0
219054160          14.026        6668.667        7024.224          39.219 0 1
213975121          10.299         187.547         136.048           6.944 3 5
213876818          12.156         339.187         356.745          14.813 0 2
218824789          10.917         313.380         326.113           9.275 2 1
218300504          12.587       17685.715       18357.203          14.688 0 5
213352537          11.799         472.351         426.558          14.068 0 1
213909594          12.361        5026.870        5272.816          15.880 0 5
215253087          13.070        2090.199        2173.721          22.188 0 1
215646306          12.471          41.910          41.655          18.206 0 0
214401125          12.779         193.169         196.858          20.708 0 0
217940074          13.600        1138.943        1164.265          29.130 0 1
218628202          12.129       35413.406       32154.768          15.850 0 1
215744619          11.282         243.084         253.520          10.442 2 1
214106224          11.828         314.701         327.655          13.763 0 2
216858738          11.867        1094.897         492.362          13.318 0 1
