# A list of 50 random EPIC targets for each magnitude bin.
# We use these for injection/recovery tests.
#
8  202073466 203560374 206189649 212747179 210371757 210484192 202095709 210767869 210959691 202585031 205904274 204976380 201553491 205627624 211591985 206180842 201860653 201175075 211984243 203054053 203633963 212479042 204604717 212748272 201667145 211698952 210451931 212538896 211009270 212424728 211418817 202885568 201601287 212485100 203534822 206020725 211066835 203465163 206428539 211376143 206094605 212678022 212466847 203108505 211686003 212692562 210982930 210509438 210610210 210443796
9  212082344 206115897 204318224 211743220 212436758 202127586 201732105 210764529 201531324 204966043 201761963 212023705 201504842 212338670 211847747 210466843 211326074 202072052 203931628 201719610 206098383 212451544 212020223 212028339 212660656 202086530 202071523 211799255 202091514 212408106 210470092 211888699 210367122 211714629 212163823 202090754 211933524 211956587 206512721 202059333 211091343 212497443 204185181 201812676 206066994 202093930 210495122 205344111 211392955 211121734
10 205993533 212489790 205696244 201207683 206149701 202064451 206393756 205967546 201721699 211709923 205406802 206087786 201158097 211982260 212122349 210370599 212646031 212715858 204501836 206354089 212747876 211764645 212425365 210800332 212143260 202093862 212833814 211995815 211606950 206449008 210887505 202092472 205617446 210931896 201843274 202071728 211942143 206442211 205410887 206209006 202059409 202065298 202094293 210740522 204612315 212032892 210366367 202089861 203354308 212072201
11 212697686 204399569 206122829 205910729 211592217 212145670 206465925 211600639 202129700 202088899 202090725 212812008 210650657 212516183 205911821 202072904 206030193 212823314 210443753 202088864 202062183 202094286 202093347 211083575 210991271 202093729 202089409 206366683 205199891 202068738 205690421 212788951 211102515 202072717 205977732 203682604 202126853 211123198 203570818 206384023 212384679 210753509 210526286 204706922 201761350 205385041 204087841 206115603 212143837 201221054
12 212646963 212688308 202068444 206095600 206262465 212177987 206477985 211377576 202126880 212779418 210704547 211057033 202088210 202877933 206122998 202874044 212410994 211739411 211407692 210837904 211800616 210826837 206136153 206005411 211989949 212118108 205963199 202722324 206012254 201261109 212614029 212518251 201795204 205165591 206157843 211130310 212279672 212161241 203613420 212634450 211935353 205150662 210644266 212771745 206039930 211828358 211597156 212519797 206160115 210404083
13 212652054 206284259 202094873 206450967 211998543 212596122 202137120 210834614 201608858 203784155 205540070 206139372 206125634 212353324 206032032 212613128 201754216 211643010 212494584 212436639 211782603 212764106 211718301 203249626 211998596 201367558 202137484 212083186 211949282 212706826 202066926 211564401 212088638 210391498 201691565 201766300 212808595 211058495 212337868 212652513 211687296 201767860 212497870 211790636 205375001 201581555 212783551 203357981 212590989 210452940
14 212009975 206188343 211672751 202066699 203819918 203747663 204342846 204980408 212314114 211371709 203439379 202854753 212287713 202138988 206141233 211382837 211367262 212101537 212526880 210362220 211569154 210437747 201596367 201723880 212783403 201535960 212335761 201345513 211842073 212410041 210596781 211981476 201883500 205097367 211107734 212578676 211140077 206212944 211819262 204124762 211585536 211642189 201330312 204367953 210950316 212406263 212096088 211521365 211630431 204826866
15 211630854 205190828 201366236 211082104 203596544 202068584 212301630 212330676 212659552 206179671 201889576 201156345 202083731 212017642 211010059 206178476 201213209 211512288 206352381 202518093 201628240 201876144 206322941 210839311 202068029 212602613 212362318 201248106 212700790 202067862 212805282 202085535 210935113 206128954 210630434 202822017 204229193 210972359 211845340 202135177 206006723 206381920 206322268 210570535 211931669 206191372 201784598 201432740 211086387 201232543
16 206491827 201242614 211987940 211619980 212135083 201929789 211374110 206048546 206017216 201502457 201462691 211818650 211101996 201380688 201577879 212087322 201876414 201807302 206110566 201770837 211461747 210719999 206241892 201569895 210906299 210510910 206029963 211888261 211352643 205930806 210620308 201225877 211918985 212563967 212802304 212425893 206080330 201691350 201721731 201322592 212686999 210989457 206179638 210692590 211007456 201849532 212695798 201860222 212318824 211903618
17 201220693 212683935 206422107 212579951 212617190 205966134 212690021 206249937 212732780 212413593 212417420 211973540 206482009 212761916 211041750 205966157 211050361 211479262 212821047 212159036 201209090 211308205 201797399 212774493 211517681 212644079 211101241 211791291 211685467 211937053 212169737 212590130 229227465 206051904 206400856 212468889 201732599 211598885 212698536 212552565 206337752 212165702 206218669 212831531 212563406 212393488 212103768 212130800 203860070 229227416
